player,age,team,pos,g,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
Derrick Jones Jr.,27.0,LAC,SF,77.0,55.0,24.3,4.0,7.6,0.526,1.0,2.8,0.356,3.0,4.8,0.627,0.593,1.1,1.5,0.703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1,jonesde02
Ausar Thompson,22.0,DET,SF,59.0,48.0,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4.0,7.0,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,thompau01
Chris Boucher,32.0,TOR,PF,50.0,0.0,17.2,3.6,7.4,0.492,1.4,3.9,0.363,2.2,3.5,0.633,0.586,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,bouchch01
Andrew Nembhard,25.0,IND,SG,65.0,65.0,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3.0,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0,nembhan01
Ziaire Williams,23.0,BRK,SF,63.0,45.0,24.5,3.4,8.3,0.412,1.6,4.8,0.341,1.8,3.5,0.509,0.511,1.6,2.0,0.821,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,10.0,willizi02
Kevin Huerter,26.0,2TM,SG,69.0,31.0,24.3,3.7,8.8,0.425,1.9,5.7,0.338,1.8,3.1,0.587,0.535,0.5,0.7,0.714,0.4,2.5,3.0,2.3,1.0,0.3,1.0,1.8,9.9,huertke01
Kevin Huerter,26.0,SAC,SG,43.0,15.0,20.9,3.0,7.2,0.413,1.4,4.8,0.302,1.5,2.4,0.629,0.513,0.5,0.7,0.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,huertke01
Kevin Huerter,26.0,CHI,SG,26.0,16.0,30.0,5.0,11.3,0.439,2.7,7.2,0.376,2.3,4.2,0.546,0.558,0.6,0.8,0.714,0.4,2.8,3.3,3.2,1.2,0.3,1.2,2.0,13.2,huertke01
Georges Niang,31.0,2TM,PF,79.0,3.0,21.5,3.6,7.8,0.461,2.1,5.2,0.406,1.5,2.7,0.569,0.595,0.6,0.7,0.793,0.6,2.8,3.4,1.4,0.4,0.2,1.0,2.5,9.9,niangge01
Georges Niang,31.0,CLE,PF,51.0,1.0,20.6,3.3,6.8,0.477,1.8,4.4,0.4,1.5,2.4,0.618,0.606,0.5,0.6,0.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.7,niangge01
Georges Niang,31.0,ATL,PF,28.0,2.0,23.0,4.3,9.7,0.441,2.7,6.6,0.413,1.6,3.1,0.5,0.581,0.8,1.0,0.793,0.5,2.5,3.0,1.6,0.4,0.3,1.2,2.6,12.1,niangge01
Julian Champagnie,23.0,SAS,SF,82.0,29.0,23.6,3.4,8.1,0.415,2.2,5.9,0.371,1.2,2.3,0.53,0.549,1.0,1.1,0.904,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9,champju02
Scotty Pippen Jr.,24.0,MEM,PG,79.0,21.0,21.3,3.6,7.5,0.48,1.1,2.8,0.397,2.5,4.7,0.528,0.553,1.5,2.2,0.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,pippesc02
Nick Smith Jr.,20.0,CHO,SG,60.0,27.0,22.8,3.7,9.5,0.391,1.7,5.1,0.34,2.0,4.4,0.45,0.482,0.7,0.8,0.935,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9,smithni01
Bub Carrington,19.0,WAS,PG,82.0,57.0,30.0,3.7,9.1,0.401,1.7,5.0,0.339,2.0,4.2,0.475,0.493,0.8,1.0,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,carrica01
Moses Moody,22.0,GSW,SG,74.0,34.0,22.3,3.3,7.7,0.433,1.7,4.6,0.374,1.6,3.1,0.519,0.544,1.4,1.8,0.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,moodymo01
Amir Coffey,27.0,LAC,SG,72.0,13.0,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,coffeam01
Max Christie,21.0,2TM,SG,78.0,36.0,27.3,3.2,7.6,0.427,1.5,4.0,0.366,1.8,3.5,0.496,0.525,1.7,1.9,0.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,chrisma02
Max Christie,21.0,LAL,SG,46.0,25.0,25.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,chrisma02
Max Christie,21.0,DAL,SG,32.0,11.0,30.4,3.9,9.4,0.411,1.7,4.7,0.364,2.2,4.7,0.457,0.502,1.8,2.0,0.862,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2,chrisma02
Kyle Filipowski,21.0,UTA,C,72.0,27.0,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,4.1,0.614,0.576,1.3,2.0,0.65,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,filipky01
Tosan Evbuomwan,23.0,BRK,SF,28.0,0.0,23.8,3.4,7.9,0.427,0.9,2.8,0.312,2.5,5.1,0.49,0.482,2.0,2.6,0.753,1.1,3.1,4.3,2.0,0.9,0.4,1.4,2.0,9.5,evbuoto01
Miles McBride,24.0,NYK,PG,64.0,10.0,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1.0,0.813,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,mcbrimi01
Jalen Wilson,24.0,BRK,PF,79.0,22.0,25.7,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,wilsoja03
Nickeil Alexander-Walker,26.0,MIN,SG,82.0,10.0,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3.0,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,alexani01
Cole Anthony,24.0,ORL,PG,67.0,22.0,18.4,3.4,8.1,0.424,1.1,3.3,0.353,2.3,4.9,0.471,0.494,1.4,1.7,0.823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4,anthoco01
Anthony Black,21.0,ORL,PG,78.0,10.0,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,blackan01
Max Strus,28.0,CLE,SF,50.0,37.0,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1.0,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,strusma01
Tristan Vukcevic,21.0,WAS,C,35.0,1.0,14.7,3.4,6.9,0.496,1.1,2.9,0.373,2.3,4.0,0.586,0.574,1.5,1.9,0.776,0.7,3.0,3.7,1.1,0.3,0.7,1.2,1.6,9.4,vukcetr01
Cam Whitmore,20.0,HOU,SF,51.0,3.0,16.2,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3.0,1.0,0.6,0.3,0.9,0.9,9.4,whitmca01
Nick Richards,27.0,2TM,C,57.0,43.0,22.0,3.6,6.1,0.591,0.0,0.0,0.0,3.6,6.1,0.594,0.591,2.1,2.8,0.744,2.6,5.6,8.2,0.9,0.2,1.0,1.4,2.5,9.3,richani01
Nick Richards,27.0,CHO,C,21.0,9.0,21.0,3.0,5.4,0.561,0.0,0.0,0.0,3.0,5.4,0.566,0.561,2.8,4.1,0.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,richani01
Nick Richards,27.0,PHO,C,36.0,34.0,22.7,3.9,6.5,0.605,0.0,0.0,0.0,3.9,6.4,0.608,0.605,1.7,2.0,0.822,2.7,5.9,8.6,0.6,0.2,0.8,1.3,2.6,9.5,richani01
Kel'el Ware,20.0,MIA,C,64.0,36.0,22.2,4.0,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1.0,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,wareke01
Zach Edey,22.0,MEM,C,66.0,55.0,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,edeyza01
Wendell Carter Jr.,25.0,ORL,C,68.0,51.0,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1,cartewe01
Noah Clowney,20.0,BRK,PF,46.0,20.0,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1.0,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,clownno01
Dalton Knecht,23.0,LAL,SF,78.0,16.0,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,knechda01
A.J. Lawson,24.0,TOR,SG,26.0,2.0,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,3.4,0.528,0.508,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,lawsoaj01
T.J. McConnell,32.0,IND,PG,79.0,1.0,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1.0,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1,mccontj01
Yves Missi,20.0,NOP,C,73.0,67.0,26.8,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,missiyv01
Royce O'Neale,31.0,PHO,SF,75.0,22.0,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1,onealro01
Jared Butler,24.0,2TM,SG,60.0,17.0,17.4,3.4,7.6,0.448,1.0,2.8,0.355,2.4,4.7,0.504,0.514,1.3,1.5,0.824,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9.0,butleja02
Jared Butler,24.0,WAS,PG,32.0,0.0,11.3,2.7,5.5,0.483,0.5,1.3,0.366,2.2,4.2,0.519,0.526,1.1,1.4,0.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9,butleja02
Jared Butler,24.0,PHI,SG,28.0,17.0,24.4,4.2,9.9,0.426,1.6,4.6,0.352,2.6,5.3,0.49,0.507,1.4,1.6,0.87,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2.0,11.5,butleja02
Marcus Smart,30.0,2TM,PG,34.0,7.0,20.0,3.0,7.6,0.393,1.4,4.1,0.348,1.5,3.4,0.448,0.488,1.6,2.1,0.761,0.5,1.6,2.1,3.2,1.1,0.3,1.6,1.6,9.0,smartma01
Marcus Smart,30.0,MEM,PG,19.0,6.0,21.1,2.8,7.8,0.358,1.5,4.7,0.322,1.3,3.1,0.414,0.456,1.6,1.9,0.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,smartma01
Marcus Smart,30.0,WAS,PG,15.0,1.0,18.7,3.2,7.3,0.44,1.3,3.4,0.392,1.9,3.9,0.483,0.532,1.6,2.3,0.686,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,9.3,smartma01
Draymond Green,34.0,GSW,PF,68.0,66.0,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2.0,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,greendr01
Killian Hayes,23.0,BRK,PG,6.0,5.0,27.0,3.0,7.2,0.419,1.3,3.5,0.381,1.7,3.7,0.455,0.512,1.7,2.0,0.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,hayeski01
Al Horford,38.0,BOS,C,60.0,42.0,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,horfoal01
Julian Strawther,22.0,DEN,SG,65.0,4.0,21.3,3.2,7.5,0.432,1.4,4.1,0.349,1.8,3.3,0.535,0.529,1.1,1.4,0.822,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9.0,strawju01
Patrick Williams,23.0,CHI,PF,63.0,36.0,25.0,3.3,8.2,0.397,1.5,4.3,0.353,1.7,3.9,0.447,0.49,1.0,1.3,0.723,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,9.0,willipa01
Jusuf Nurkić,30.0,2TM,C,51.0,32.0,20.8,3.3,6.9,0.477,0.6,2.1,0.305,2.7,4.8,0.551,0.523,1.7,2.5,0.664,1.7,6.1,7.8,2.3,0.8,0.7,1.9,2.5,8.9,nurkiju01
Jusuf Nurkić,30.0,PHO,C,25.0,23.0,23.7,3.0,6.5,0.454,0.8,2.4,0.322,2.2,4.2,0.529,0.512,1.9,2.8,0.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,nurkiju01
Jusuf Nurkić,30.0,CHO,C,26.0,9.0,18.1,3.6,7.3,0.497,0.5,1.8,0.283,3.1,5.5,0.566,0.532,1.4,2.3,0.627,1.5,5.0,6.5,2.6,0.7,0.7,1.5,2.0,9.2,nurkiju01
Clint Capela,30.0,ATL,C,55.0,41.0,21.4,4.0,7.1,0.559,0.0,0.0,0.0,4.0,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,capelca01
Johnny Juzang,23.0,UTA,SG,64.0,18.0,19.8,3.2,7.4,0.429,1.8,4.9,0.376,1.3,2.5,0.534,0.554,0.7,0.8,0.849,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2.0,8.9,juzanjo01
Luke Kennard,28.0,MEM,SG,65.0,11.0,22.6,3.2,6.6,0.478,1.7,4.0,0.433,1.4,2.6,0.547,0.609,0.8,0.9,0.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,kennalu01
Justin Champagnie,23.0,WAS,SF,62.0,31.0,21.6,3.4,6.6,0.511,1.2,3.1,0.383,2.2,3.5,0.624,0.601,0.8,1.2,0.685,1.8,3.9,5.7,1.0,1.0,0.6,0.9,1.8,8.8,champju01
Svi Mykhailiuk,27.0,UTA,SF,38.0,13.0,20.0,3.1,7.9,0.391,1.8,5.3,0.345,1.3,2.6,0.485,0.507,0.7,0.9,0.8,0.6,1.8,2.4,2.0,0.5,0.2,1.4,1.1,8.8,mykhasv01
Chris Paul,39.0,SAS,PG,82.0,82.0,28.0,3.0,7.1,0.427,1.7,4.5,0.377,1.3,2.6,0.514,0.547,1.0,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,paulch01
Kelly Olynyk,33.0,2TM,C,44.0,22.0,20.3,3.0,6.1,0.5,0.8,1.8,0.418,2.3,4.3,0.534,0.562,1.9,2.5,0.769,1.4,3.3,4.7,2.9,0.8,0.4,1.7,2.8,8.7,olynyke01
Kelly Olynyk,33.0,TOR,C,24.0,2.0,16.0,2.5,4.9,0.5,0.8,1.8,0.442,1.7,3.1,0.533,0.581,1.4,1.8,0.791,1.0,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1,olynyke01
Kelly Olynyk,33.0,NOP,C,20.0,20.0,25.4,3.8,7.5,0.5,0.7,1.8,0.389,3.1,5.7,0.535,0.547,2.5,3.3,0.754,1.9,4.0,5.9,3.6,0.9,0.6,2.1,3.2,10.7,olynyke01
Dorian Finney-Smith,31.0,2TM,PF,63.0,40.0,28.9,3.1,6.9,0.448,2.0,5.0,0.411,1.0,1.9,0.545,0.597,0.5,0.7,0.667,1.3,2.7,3.9,1.4,0.9,0.4,0.9,2.2,8.7,finnedo01
Dorian Finney-Smith,31.0,BRK,PF,20.0,20.0,29.0,3.7,8.0,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,finnedo01
Dorian Finney-Smith,31.0,LAL,PF,43.0,20.0,28.8,2.8,6.4,0.442,1.9,4.8,0.398,0.9,1.6,0.571,0.591,0.3,0.5,0.714,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9,finnedo01
Oshae Brissett,26.0,PHI,SF,6.0,2.0,23.7,3.2,6.5,0.487,1.0,3.0,0.333,2.2,3.5,0.619,0.564,1.3,2.3,0.571,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7,brissos01
Kentavious Caldwell-Pope,31.0,ORL,SG,77.0,77.0,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,caldwke01
Isaiah Collier,20.0,UTA,PG,71.0,46.0,25.9,3.3,7.8,0.422,0.6,2.4,0.249,2.7,5.4,0.497,0.459,1.5,2.2,0.682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7,colliis01
Dante Exum,29.0,DAL,PG,20.0,13.0,18.6,3.2,6.7,0.478,1.2,2.7,0.434,2.1,4.1,0.506,0.563,1.2,1.6,0.742,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7,exumda01
Kyshawn George,21.0,WAS,SG,68.0,38.0,26.5,3.0,8.0,0.372,1.7,5.2,0.322,1.3,2.8,0.464,0.476,1.0,1.4,0.753,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7,georgky01
Jaden Hardy,22.0,DAL,SG,57.0,3.0,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.8,3.8,0.479,0.527,1.1,1.5,0.698,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7,hardyja02
Dereck Lively II,20.0,DAL,C,36.0,29.0,23.1,3.7,5.3,0.702,0.0,0.0,,3.7,5.3,0.702,0.702,1.3,2.0,0.63,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,livelde01
Tyrese Martin,25.0,BRK,SG,60.0,11.0,21.9,3.2,7.8,0.406,1.7,4.7,0.351,1.5,3.1,0.492,0.513,0.8,1.0,0.793,1.0,2.7,3.7,2.0,0.6,0.2,1.2,1.3,8.7,martity01
Matas Buzelis,20.0,CHI,SF,80.0,31.0,18.9,3.2,6.9,0.454,1.2,3.3,0.361,2.0,3.6,0.54,0.541,1.1,1.4,0.815,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,8.6,buzelma01
Jaime Jaquez Jr.,23.0,MIA,SF,66.0,17.0,20.7,3.2,7.0,0.461,0.6,1.8,0.311,2.7,5.2,0.513,0.501,1.6,2.2,0.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,jaqueja01
Ja'Kobe Walter,20.0,TOR,SG,52.0,18.0,21.2,3.1,7.6,0.405,1.3,3.6,0.349,1.8,4.0,0.454,0.487,1.3,1.6,0.795,1.1,1.9,3.1,1.6,0.8,0.2,1.0,1.8,8.6,walteja01
Sam Hauser,27.0,BOS,PF,71.0,19.0,21.7,3.0,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1.0,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,hausesa01
Larry Nance Jr.,32.0,ATL,PF,24.0,3.0,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,nancela02
Jared Rhoden,25.0,2TM,SG,14.0,2.0,16.2,3.0,6.2,0.483,0.9,2.8,0.308,2.1,3.4,0.625,0.552,1.6,1.8,0.88,1.0,2.0,3.0,1.1,0.7,0.1,0.6,1.4,8.4,rhodeja01
Jared Rhoden,25.0,CHO,SG,4.0,0.0,3.0,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.333,0.25,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,rhodeja01
Jared Rhoden,25.0,TOR,SG,10.0,2.0,21.5,4.0,7.9,0.506,1.2,3.7,0.324,2.8,4.2,0.667,0.582,2.2,2.5,0.88,1.2,2.6,3.8,1.4,0.9,0.2,0.8,1.9,11.4,rhodeja01
Jaylen Nowell,25.0,NOP,SG,8.0,0.0,21.0,3.3,9.1,0.356,1.0,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,nowelja01
Cason Wallace,21.0,OKC,SG,68.0,43.0,27.6,3.4,7.2,0.474,1.1,3.1,0.356,2.3,4.1,0.562,0.55,0.4,0.5,0.811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4,wallaca01
Bruce Brown,28.0,2TM,PG,41.0,12.0,22.5,3.2,7.5,0.421,0.7,2.0,0.333,2.5,5.6,0.452,0.464,1.3,1.6,0.815,1.0,3.0,4.0,2.0,0.8,0.2,1.0,1.7,8.3,brownbr01
Bruce Brown,28.0,TOR,PG,18.0,0.0,19.6,3.2,7.3,0.435,0.6,2.0,0.306,2.6,5.3,0.484,0.477,1.4,1.6,0.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,brownbr01
Bruce Brown,28.0,NOP,PG,23.0,12.0,24.7,3.2,7.7,0.41,0.7,2.0,0.356,2.5,5.8,0.429,0.455,1.2,1.6,0.75,1.0,3.2,4.2,2.4,0.7,0.3,0.9,2.0,8.2,brownbr01
Dalano Banton,25.0,POR,PG,67.0,7.0,16.7,3.0,7.6,0.391,1.1,3.3,0.324,1.9,4.3,0.442,0.462,1.4,1.9,0.728,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,8.3,bantoda01
Brandon Clarke,28.0,MEM,PF,64.0,18.0,18.9,3.7,5.9,0.621,0.0,0.3,0.059,3.7,5.7,0.647,0.622,1.0,1.4,0.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,2.3,8.3,clarkbr01
Keon Ellis,25.0,SAC,SG,80.0,28.0,24.4,2.8,5.8,0.489,1.7,4.0,0.433,1.1,1.8,0.615,0.639,0.9,1.1,0.849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3,elliske01
Brandon Williams,25.0,DAL,PG,33.0,3.0,14.8,3.0,5.7,0.521,0.7,1.8,0.4,2.2,3.9,0.578,0.585,1.7,2.0,0.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1.0,8.3,willibr03
Mike Conley,37.0,MIN,PG,71.0,64.0,24.7,2.6,6.6,0.4,1.8,4.4,0.41,0.8,2.2,0.38,0.535,1.1,1.3,0.9,0.5,2.1,2.6,4.5,1.1,0.2,1.1,1.6,8.2,conlemi01
Taurean Prince,30.0,MIL,SF,80.0,73.0,27.1,2.9,6.4,0.457,1.8,4.2,0.439,1.1,2.2,0.492,0.6,0.5,0.6,0.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2,princta02
Jalen Smith,24.0,CHI,C,64.0,2.0,15.0,3.0,6.4,0.466,1.1,3.5,0.324,1.8,2.9,0.634,0.554,1.1,1.4,0.809,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.5,8.2,smithja04
Quinten Post,24.0,GSW,PF,42.0,14.0,16.3,2.9,6.5,0.449,1.7,4.3,0.408,1.2,2.3,0.526,0.582,0.5,0.6,0.778,0.8,2.7,3.5,1.3,0.4,0.4,0.8,2.0,8.1,postqu01
Peyton Watson,22.0,DEN,SF,68.0,18.0,24.4,3.0,6.3,0.477,0.7,2.0,0.353,2.3,4.3,0.534,0.533,1.4,2.0,0.693,0.7,2.7,3.4,1.4,0.7,1.4,0.8,1.8,8.1,watsope01
Davion Mitchell,26.0,2TM,PG,74.0,37.0,27.4,3.0,6.4,0.468,1.1,2.9,0.398,1.9,3.6,0.525,0.557,0.8,1.1,0.69,0.5,1.8,2.3,4.9,1.0,0.2,1.7,2.5,7.9,mitchda01
Davion Mitchell,26.0,TOR,PG,44.0,22.0,24.5,2.4,5.5,0.434,1.0,2.7,0.359,1.5,2.9,0.504,0.52,0.6,0.8,0.676,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,6.3,mitchda01
Davion Mitchell,26.0,MIA,PG,30.0,15.0,31.6,3.9,7.7,0.504,1.4,3.1,0.447,2.5,4.6,0.543,0.595,1.1,1.6,0.702,0.6,2.1,2.7,5.3,1.4,0.3,1.7,2.3,10.3,mitchda01
Caleb Martin,29.0,2TM,SF,45.0,24.0,27.1,2.9,6.8,0.424,0.8,2.3,0.359,2.0,4.5,0.458,0.485,1.4,2.2,0.622,1.2,2.8,3.9,2.1,1.0,0.5,1.2,1.9,7.9,martica02
Caleb Martin,29.0,PHI,SF,31.0,24.0,30.4,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,martica02
Caleb Martin,29.0,DAL,SF,14.0,0.0,19.6,2.0,5.1,0.389,0.3,1.1,0.25,1.7,4.0,0.429,0.417,1.1,1.7,0.625,0.7,2.2,2.9,1.9,0.9,0.2,0.9,1.7,5.4,martica02
Tyson Etienne,25.0,BRK,PG,7.0,0.0,21.6,2.4,7.4,0.327,1.9,6.3,0.295,0.6,1.1,0.5,0.452,1.1,1.4,0.8,0.4,0.9,1.3,1.7,0.4,0.1,1.1,2.4,7.9,etienty01
Day'Ron Sharpe,23.0,BRK,C,50.0,2.0,18.1,3.3,6.3,0.521,0.2,0.9,0.244,3.1,5.4,0.566,0.538,1.1,1.5,0.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9,sharpda01
KJ Simpson,22.0,CHO,PG,36.0,15.0,23.4,2.9,8.4,0.346,0.9,3.6,0.254,2.0,4.8,0.415,0.4,1.1,1.4,0.82,1.1,1.9,3.0,3.1,0.9,0.2,1.6,1.6,7.8,simpskj01
Terance Mann,28.0,2TM,SG,67.0,13.0,21.1,3.1,6.2,0.496,0.9,2.4,0.368,2.2,3.7,0.58,0.569,0.7,1.0,0.691,1.0,2.0,3.0,1.8,0.7,0.2,0.7,1.9,7.7,mannte01
Terance Mann,28.0,LAC,SG,37.0,12.0,19.8,2.4,5.3,0.446,0.7,2.0,0.347,1.6,3.2,0.508,0.513,0.6,0.9,0.719,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,6.0,mannte01
Terance Mann,28.0,ATL,SG,30.0,1.0,22.7,3.9,7.3,0.541,1.1,2.9,0.386,2.8,4.3,0.646,0.619,0.8,1.2,0.667,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2.0,9.8,mannte01
Karlo Matković,23.0,NOP,PF,42.0,7.0,18.8,3.2,5.6,0.574,0.5,1.6,0.318,2.7,4.0,0.675,0.619,0.8,1.0,0.773,1.5,3.5,5.0,1.1,0.5,1.0,1.0,2.5,7.7,matkoka01
